baseline,delta_ACC,ci_ACC_lo,ci_ACC_hi,p_ACC,p_holm_ACC,wins_ACC,losses_ACC,ties_ACC,delta_AUC,ci_AUC_lo,ci_AUC_hi
EWC,0.05709494686297152,0.045918689582992986,0.07473386663060011,0.0625,0.375,5,0,0,0.05009098179392853,0.04603058993038602,0.054984955674965176
DER++,0.013047877025762867,0.0123758902652364,0.013719863786289333,0.0625,0.375,5,0,0,0.00776133922213591,0.006030082346839882,0.009514361783974423
C-LoRA,0.05417141144633701,0.04229382940831572,0.06919092965104859,0.0625,0.375,5,0,0,0.05296095122040008,0.04328064203483926,0.06742883477130832
X-DER,0.010675747000043723,0.008116938290018427,0.01234733861940629,0.0625,0.375,5,0,0,0.012806884820246478,0.010262927232944818,0.01556612958086634
C-LoRA-GNCDM,0.04517699289065269,0.028516543189054278,0.06580634715119922,0.0625,0.375,5,0,0,0.006813204721238452,0.004247778557385562,0.011158433535647582
ICD,0.08468727132905249,0.08365825477316699,0.08589198645545518,0.0625,0.375,5,0,0,0.055590707474900226,0.05493075844284521,0.056351140528643054
