Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8099650052351844,-,0.41974035294088785,-,0.722502522704339,-,0.7134602633323861,-,
Ours (Dynamic DNA),0.8099650052351844,0.6595545203071717,0.419740353260115,0.47241594287214667,0.722502522704339,0.7054759898904802,0.7134602633323861,0.563,0.0
Ours (LoRA),0.8099650052351844,0.6368610116307346,0.419740353260115,0.4863080516915335,0.722502522704339,0.6834035383319292,0.7134602633323861,0.538442643085237,0.0
Full Replay Oracle,0.8117191385290298,0.8387276081320534,0.41990302601248436,0.39465324575203287,0.724428951472342,0.7538331929233362,0.716870876531574,0.6719065798338199,0.05807580426335335
