Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8051017775961157,-,0.41928836941672715,-,0.7252545638014861,-,0.7384507903239892,-,
Ours (Dynamic DNA),0.805101794500166,0.6852953657494228,0.4192883694522744,0.45408190949280813,0.7252545638014861,0.7246840775063185,0.7384507903239892,0.577559462254395,0.0
Ours (LoRA),0.805101794500166,0.6601317030680777,0.4192883694522744,0.4773859163858633,0.7252545638014861,0.6741364785172704,0.7384507903239892,0.5373205741626794,0.0
Full Replay Oracle,0.8062934455221341,0.8395781998573103,0.42289098349172644,0.3938517308656196,0.7224107880011008,0.749452401010952,0.7260050706265846,0.6722503857174345,0.06958228349685669
