Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8056443807049056,-,0.4265781434408071,-,0.7174571140262361,-,0.7095435684647303,-,
Ours (Dynamic DNA),0.8056443638008555,0.6990352013727916,0.4265781435613352,0.45670646194710224,0.7174571140262361,0.7529907329401854,0.7095435684647303,0.5858757062146893,0.0
Ours (LoRA),0.8056443638008555,0.6964885706520634,0.4265781435613352,0.4864825596489148,0.7174571140262361,0.6855939342881213,0.7095435684647303,0.5399408284023669,0.0
Full Replay Oracle,0.8085302232585532,0.8333007099598907,0.42086133205690784,0.39917658252701255,0.7232364003302449,0.7499578770008425,0.7224215659214279,0.6618049225159526,0.050939664244651794
