item_id,knowledge_code
0,"[1, 2, 10, 11]"
1,"[3, 8]"
2,"[3, 11]"
3,"[5, 10, 11]"
4,"[6, 8]"
5,"[7, 8, 10]"
6,"[6, 9, 11]"
7,"[5, 10, 11]"
8,"[3, 8, 11]"
9,"[1, 3, 6, 7, 8, 10, 11]"
10,"[4, 11]"
11,"[6, 8, 11]"
12,"[3, 11]"
13,"[5, 10, 11]"
14,"[6, 7, 8, 9, 10, 11]"
15,"[1, 8, 10, 11]"
16,"[5, 10, 11]"
17,"[3, 10, 11]"
18,"[6, 7, 8, 10, 11]"
19,"[3, 8, 10, 11]"
