ortho_lambda,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
0.0,0.6772271510977006,0.754760832172831,0.5075855739429066,0.4403328548402282,0.6517188247170713,0.7232715609408411,0.7266700025018764,0.7903523376681816,0.20017217099666595
0.01,0.6955604015883451,0.7577652616783113,0.4890389106723774,0.4374726487776933,0.6617076669677487,0.7229745782846282,0.7340767656517563,0.791450545519585,0.18210984766483307
0.1,0.6974319242585485,0.7565503984107244,0.47949737842534956,0.4377067664065584,0.6725466234525265,0.7224994060346875,0.749695394362765,0.7902487204812786,0.17984910309314728
0.3,0.6983384914809785,0.7561382057105188,0.47934112575539406,0.43688497759458755,0.6754423250624303,0.7238655262532668,0.754654081735114,0.7917208010393799,0.18560640513896942
0.5,0.7042230393706546,0.7551110544324636,0.47470609927840124,0.4369290718603644,0.6818181818181818,0.7248752672843906,0.7613430307860914,0.7927702219040802,0.17993266880512238
0.7,0.7051136236674389,0.7550276209471565,0.4748554383522284,0.4370782779067217,0.6820041443068913,0.7264195770966976,0.7608487173339726,0.7936934515811161,0.1791706532239914
1.0,0.7018672377035422,0.7552710239297613,0.479010876148399,0.4365919613065673,0.6762924392965305,0.7246970776906628,0.7549325234810241,0.7927194669290282,0.17453324794769287
10.0,0.7272245721825805,0.751603445092595,0.4561699362593519,0.4373152560832185,0.7032570001593964,0.722855785222143,0.7817165637457985,0.7903675083116183,0.1418345868587494
