Model,epoch,ACC_new,ACC_old
EWC,1,0.7502551888397414,0.5913487862748676
EWC,2,0.7516161959850289,0.601387114436941
EWC,3,0.7522966995576726,0.6021171746669101
EWC,4,0.7505954406260633,0.6077751414491696
EWC,5,0.7560394692072133,0.6052199306442781
EWC,6,0.7488941816944539,0.6130680781164446
EWC,7,0.7509356924123851,0.6165358642087972
EWC,8,0.7475331745491663,0.6172659244387662
EWC,9,0.7414086423953726,0.6167183792662895
EWC,10,0.7349438584552569,0.6136156232889214
EWC,11,0.7366451173868663,0.6086877167366308
EWC,12,0.7359646138142225,0.6158058039788282
EWC,13,0.7339231030962913,0.6119729877714911
EWC,14,0.7335828513099694,0.6147107136338748
EWC,15,0.7247363048656006,0.6094177769665997
EWC,16,0.7305205852330725,0.613433108231429
EWC,17,0.7322218441646818,0.6136156232889214
EWC,18,0.7281388227288194,0.6139806534039058
EWC,19,0.7254168084382443,0.613433108231429
EWC,20,0.7240558012929568,0.6141631684613981
EWC,21,0.7220142905750255,0.6154407738638438
EWC,22,0.7162300102075536,0.6148932286913671
EWC,23,0.7257570602245662,0.6154407738638438
EWC,24,0.7216740387887036,0.6137981383464136
EWC,25,0.7213337870023817,0.6190910750136887
DER++,1,0.7437904048996257,0.7200219018068991
DER++,2,0.7451514120449132,0.7121737543347326
DER++,3,0.7403878870364069,0.6849790107683884
DER++,4,0.7369853691731881,0.6979375798503377
DER++,5,0.7397073834637632,0.6955648841029385
DER++,6,0.7380061245321538,0.6920970980105858
DER++,7,0.7220142905750255,0.6968424895053842
DER++,8,0.7281388227288194,0.6911845227231247
DER++,9,0.7267778155835318,0.6875342215732798
DER++,10,0.7213337870023817,0.6948348238729695
DER++,11,0.7247363048656006,0.6886293119182333
DER++,12,0.7277985709424974,0.6878992516882643
DER++,13,0.720653283429738,0.6897244022631868
DER++,14,0.7135079959169786,0.6893593721482022
DER++,15,0.7169105137801973,0.6878992516882643
DER++,16,0.7097652262674379,0.6900894323781712
DER++,17,0.7022796869683566,0.6906369775506479
DER++,18,0.7022796869683566,0.6835188903084505
DER++,19,0.6995576726777816,0.681693739733528
DER++,20,0.6998979244641035,0.6818762547910202
DER++,21,0.6978564137461721,0.6833363752509583
DER++,22,0.6978564137461721,0.6864391312283263
DER++,23,0.6951343994555972,0.6860741011133419
DER++,24,0.7015991833957128,0.6831538601934659
DER++,25,0.7033004423273223,0.674940682606315
