Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.6391527525850224,-,0.47857669564524064,-,0.6193447737909517,-,0.6805790851686432,-,
Ours-Ablated,0.6277861722875862,0.8356952280557313,0.5054134842936565,0.46357988813232864,0.42993484445260166,0.8634450244148847,0.13650264108979707,0.0,0.12126276642084122
Ours (Dynamic DNA),0.6374958950051295,0.7812351519954758,0.4785728823559553,0.549273966357292,0.6193447737909517,0.40646573497221755,0.6805790851686432,0.30294641091556257,0.000468940386781469
Ours (LoRA),0.6136720824228997,0.8019664528874619,0.5075487811317534,0.459932943159887,0.42993484445260166,0.8634450244148847,0.13650264108979707,0.0,0.12637029588222504
Full Replay Oracle,0.6572553301965844,0.8416890128132868,0.47645364053559025,0.31550109058466036,0.6330182619069469,0.7886849637986193,0.6916017583095551,0.5033636723387416,0.06069745495915413
Naive FT (NFT),0.617638860230616,0.827604207744142,0.6427479723342663,0.3065142338556725,0.4188308708818941,0.8634450244148847,0.0,0.0,0.42239123582839966
