Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.8447250835747188,-,0.41079660531053613,-,0.7533534081576786,-,0.7184668263722529,-,
Ours-Ablated,0.6151298188736674,0.8433473705636394,0.5868825190262345,0.3985174244140018,0.5860936216808103,0.8005422809693272,0.2954333643988816,0.7055291468601451,0.0
Ours (Dynamic DNA),0.8447250835747188,0.7249495692627694,0.41079660531053613,0.46632036642063857,0.7533534081576786,0.7019149296729368,0.7184668263722529,0.5883454247601217,0.0
Ours (LoRA),0.8447250835747188,0.9012243631094093,0.41079660531053613,0.3469444533835407,0.7533534081576786,0.8224029825453313,0.7184668263722529,0.7386533665835412,0.0
Full Replay Oracle,0.752351484809854,0.7504381676629606,0.46907327701349094,0.4828998932126808,0.6977826444018614,0.730723606168446,0.6518814378810175,0.5704244390375777,0.0712849348783493
Naive FT (NFT),0.6438265531509448,0.9174596680685332,0.6293386067768306,0.3711405419022626,0.5868236152933661,0.8203694289103541,0.299721620785648,0.7275064267352185,0.08112816512584686
