Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.7137351453606546,-,0.4334346494488199,-,0.7438012088650101,-,0.8251471316209229,-,
Ours-Ablated,0.6725167716109579,0.751724064192962,0.5706818673505806,0.4364994798485598,0.41139019476158495,0.7332470435959287,0.2810644092266299,0.8017490161783997,0.0
Ours (Dynamic DNA),0.7137351453606546,0.7335333831888671,0.4334346494488199,0.4491883195072678,0.7438012088650101,0.7058304406659999,0.8251471316209229,0.774347865330806,0.0
Ours (LoRA),0.7137351453606546,0.7667938846450743,0.4334346494488199,0.4276564363823418,0.7438012088650101,0.7377772548096723,0.8251471316209229,0.8069810748776579,0.0
Full Replay Oracle,0.6982551876097881,0.7293027710422748,0.4396555459122725,0.4498417281688504,0.7400671591672263,0.6964170147673119,0.8239703099985446,0.7895423770291214,0.015007270500063896
Naive FT (NFT),0.6626080227225286,0.7501141397304175,0.5399336762487253,0.438026433466922,0.5747481531229013,0.7318938636229922,0.623364263621223,0.7987457492381752,0.021236564964056015
