Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.6391527525850224,-,0.47858070853363394,-,0.6193447737909517,-,0.6805790851686432,-,
Ours-Ablated,0.6277977624543088,0.8357139834298674,0.5055394235659056,0.46368141715958255,0.42993484445260166,0.8634450244148847,0.13650264108979707,0.0,0.12163860350847244
Ours (Dynamic DNA),0.6374958950051295,0.7812351519954758,0.47857714871323653,0.5490279568364792,0.6193447737909517,0.40646573497221755,0.6805790851686432,0.30294641091556257,0.0004860305634792894
Ours (LoRA),0.6071511778446386,0.8020596286243558,0.5087956344981235,0.46263649849459576,0.42993484445260166,0.8634450244148847,0.13650264108979707,0.0,0.12826094031333923
Full Replay Oracle,0.6572553301965844,0.8417041613847045,0.476392931678912,0.31552610520385826,0.6330182619069469,0.7886849637986193,0.6916017583095551,0.5033636723387416,0.06018245592713356
Naive FT (NFT),0.617613984619053,0.8276015627554818,0.6417114892691085,0.30651673790111933,0.4188308708818941,0.8634450244148847,0.0,0.0,0.42119288444519043
