Model,epoch,ACC_new,AUC_new,ACC_old,AUC_old
CLEAN-Full,1,0.6519224225927186,0.6613754781542118,0.736448256981201,0.8097393778869981
CLEAN-Full,2,0.7349438584552569,0.6853654950069208,0.736448256981201,0.8097393778869981
CLEAN-Full,3,0.7441306566859476,0.6873190140512848,0.736448256981201,0.8097393778869981
CLEAN-Full,4,0.743109901326982,0.6947637157864414,0.736448256981201,0.8097393778869981
CLEAN-Full,5,0.7434501531133039,0.7020764263825694,0.736448256981201,0.8097393778869981
CLEAN-Full,6,0.7434501531133039,0.7068923464210326,0.736448256981201,0.8097393778869981
CLEAN-Full,7,0.74276964954066,0.7093003064402641,0.736448256981201,0.8097393778869981
CLEAN-Full,8,0.7420891459680163,0.7112124214201042,0.736448256981201,0.8097393778869981
CLEAN-Full,9,0.7414086423953726,0.7142979024951847,0.736448256981201,0.8097393778869981
CLEAN-Full,10,0.7454916638312351,0.7168097490763129,0.736448256981201,0.8097393778869981
CLEAN-Full,11,0.7454916638312351,0.718345965337019,0.736448256981201,0.8097393778869981
CLEAN-Full,12,0.7448111602585914,0.7197516960610432,0.736448256981201,0.8097393778869981
CLEAN-Full,13,0.7383463763184757,0.7211348427498723,0.736448256981201,0.8097393778869981
CLEAN-Full,14,0.7335828513099694,0.7207220567732533,0.736448256981201,0.8097393778869981
CLEAN-Full,15,0.7175910173528411,0.7208824034231376,0.736448256981201,0.8097393778869981
CLEAN-Full,16,0.7084042191221503,0.7240742803973585,0.736448256981201,0.8097393778869981
CLEAN-Full,17,0.7046614494726098,0.7283737788310303,0.736448256981201,0.8097393778869981
CLEAN-Full,18,0.7019394351820347,0.736243060427852,0.736448256981201,0.8097393778869981
CLEAN-Full,19,0.6998979244641035,0.7450721635204596,0.736448256981201,0.8097393778869981
CLEAN-Full,20,0.7053419530452535,0.7589412704674092,0.736448256981201,0.8097393778869981
CLEAN-Full,21,0.7175910173528411,0.7707830838550246,0.736448256981201,0.8097393778869981
CLEAN-Full,22,0.7186117727118068,0.7815516537034305,0.736448256981201,0.8097393778869981
CLEAN-Full,23,0.7186117727118068,0.7892262107301268,0.736448256981201,0.8097393778869981
CLEAN-Full,24,0.7247363048656006,0.7941078754043797,0.736448256981201,0.8097393778869981
CLEAN-Full,25,0.7257570602245662,0.7978156721159434,0.736448256981201,0.8097393778869981
Full-Replay,1,0.7359646138142225,0.8335160130846881,0.7298777149114802,0.8203764900129833
Full-Replay,2,0.7577407281388228,0.8372544237106273,0.7318853805438948,0.8233195181401407
Full-Replay,3,0.7550187138482477,0.8342299195305731,0.7315203504289104,0.8231693935740819
