Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.7440781697263233,-,0.4330355526047059,-,0.7297168056957654,-,0.8126197141594225,-,
Ours-Ablated,0.7190128160496188,0.739723996994838,0.46771656230335323,0.436998088205135,0.6871845279209394,0.7239843193157519,0.763273758066786,0.799913885898816,0.0
Ours (Dynamic DNA),0.7440781697263233,0.7360931487290726,0.4330355526047059,0.44041500631253977,0.7297168056957654,0.7156094084105489,0.8126197141594225,0.7906061401207032,0.0
Ours (LoRA),0.7440781697263233,0.7401198997552968,0.4330355526047059,0.43761199137551526,0.7297168056957654,0.7232121644095985,0.8126197141594225,0.7993455046503617,0.0
Full Replay Oracle,0.7475550297636959,0.7357571029134913,0.4322251539583465,0.44010675001112,0.7311779395356252,0.7229745782846282,0.8166416003769004,0.8015994555045091,0.021589189767837524
Naive FT (NFT),0.7007099475596257,0.7461813596302453,0.4922869044897277,0.4386103727584836,0.6887519260400616,0.7243406985032074,0.7754781342225289,0.79836642481644,0.02153082564473152
