Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.6231852281541251,-,0.4637584533367465,-,0.6680396304130023,-,0.7909349037753707,-,0.0
NFT,0.6221099660769037,0.6178366244437548,0.4671760696090549,0.4677070713078443,0.6555159746187242,0.6527637684083115,0.7657811080835604,0.7863194810837653,0.04431312158703804
Ours-Ablated,0.6212551179328047,0.6175864009192463,0.4641687973176183,0.4678049237316763,0.6662584882555939,0.6527637684083115,0.7880523153057618,0.7863194810837653,0.014440941624343395
Ours (Dynamic DNA),0.6231904619674464,0.5143425454067991,0.46375873518229616,0.47736072582234856,0.6680396304130023,0.6475186604801291,0.7909349037753707,0.7860532035387394,5.418492037279066e-06
Ours (LoRA),0.6209715591864807,0.61778249645825,0.4642172790853469,0.46778840629030166,0.6680396304130023,0.6568489005446843,0.7909349037753707,0.7821325648414985,0.011938768438994884
Full Replay Oracle,0.6232940642780982,0.6177217821767945,0.46402700053159507,0.46798305839458687,0.6676221752198598,0.6527637684083115,0.791785072961523,0.7863194810837653,0.01110380794852972
