Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.6606783611990259,-,0.45638644653070953,-,0.6941692991379772,-,0.7869451697127937,-,
Ours-Ablated,0.6294516905661443,0.7179692168313858,0.5472961385295071,0.45151595092408203,0.4446110189002516,0.6915599810336652,0.3806054815787902,0.7693671334869704,0.0
Ours (Dynamic DNA),0.6606783611990259,0.7059913371512556,0.45638644653070953,0.4531838445035643,0.6941692991379772,0.6752015173067805,0.7869451697127937,0.7790678922754395,0.0
Ablated (w/o OrthoMask),0.6306546351115241,0.7151754574828546,0.4877793610892276,0.45067792364444786,0.6021845050061573,0.6850403034613561,0.676280934123388,0.7813708549329383,0.0
Ablated (w/o FrozenBias),0.6605398996869354,0.7085423120588139,0.49527052551920037,0.45255630847490835,0.5599400331959095,0.6890706495969654,0.602889307629125,0.7808505305372212,0.0
