Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8072208524306842,-,0.4186336080154157,-,0.7292908907439685,-,0.7255139056831923,-,
Ours-Ablated,0.697742616226333,0.8500412058301482,0.46790532652280153,0.3894947315439197,0.6402164938996422,0.7543386689132267,0.6924404015056461,0.6755674232309746,0.0
Ours (Dynamic DNA),0.8072208524306842,0.7238615258252897,0.4186336080154157,0.4432997887980616,0.7292908907439685,0.7265374894692502,0.7255139056831923,0.582024208086531,0.0
Ours (LoRA),0.8072208524306842,0.6986627930174938,0.4186336080154157,0.4604952690745971,0.7292908907439685,0.6754844144903117,0.7255139056831923,0.5525092936802974,0.0
Full Replay Oracle,0.8095592235090713,0.8363674325380005,0.4217830754345789,0.39744992511404764,0.7172736446197596,0.752653748946925,0.695273877793158,0.6412512218963832,0.07409346103668213
Naive FT (NFT),0.7666030060134469,0.8503833748277548,0.4563628053585915,0.38687692632374787,0.6706724153747362,0.762089300758214,0.6207479399957744,0.6729967577582214,0.07082998752593994
