Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.8391596703769978,-,0.41370326275476543,-,0.7550871429874989,-,0.7263458401305057,-,
Ours-Ablated,0.5544638400395,0.9194414542685366,0.64685831730917,0.33273802850026873,0.534994068801898,0.8403660396542959,0.05349182763744428,0.7743172017249641,0.0
Ours (Dynamic DNA),0.8391596703769978,0.682112430164062,0.41370326275476543,0.4695012348020441,0.7550871429874989,0.7192001355702423,0.7263458401305057,0.5812484205205964,0.0
Ours (LoRA),0.8391596703769978,0.8317162754571424,0.41370326275476543,0.37402756436833495,0.7550871429874989,0.821894594136587,0.7263458401305057,0.7438459663660736,0.0
Full Replay Oracle,0.7616582636440747,0.7616594497378715,0.4826376295137943,0.4589609807577778,0.6861939958025367,0.7436027791899678,0.5862110456022139,0.600896860986547,0.07023177295923233
Naive FT (NFT),0.6217792723751959,0.88144953938914,0.6099032918982727,0.4126080534009354,0.591842321379688,0.7868157939332316,0.3921728495719527,0.6737551867219918,0.0831572413444519
