alpha,sel_DNA_validACC,Base_te_AUCold,Base_te_ACCold,DNA_te_AUCnew,DNA_te_ACCnew,DNA_te_F1new,LoRA_te_AUCnew,LoRA_te_ACCnew,LoRA_te_F1new,DNA_va_AUCnew,LoRA_va_AUCnew
0.1,0.7292,0.7602957544296398,0.7347377928909197,0.7544922503606409,0.7258850083155144,0.7977207977207977,0.7500278912762269,0.7217866476597766,0.7947774272695408,0.7533420585972646,0.746050133867063
0.2,0.7277,0.7580559309397954,0.7371818713139578,0.7519651199047147,0.7246376811594203,0.7972180911556295,0.7410699809249766,0.7204205274411974,0.7937606800157736,0.7499153823252014,0.7397112332430744
0.3,0.7275,0.7585006803257438,0.7373412677328516,0.7523165324362914,0.7254098360655737,0.7969251043268175,0.7356692593180325,0.7182822523164647,0.7918915361326839,0.7497491350796901,0.7345290910947979
0.4,0.7265,0.757801611820363,0.7360926624515169,0.7522718972383906,0.7232715609408411,0.7954335894621295,0.745733206983423,0.7219054407222618,0.7957955338450803,0.749598281097652,0.7438907759218936
0.5,0.7276,0.7570371864642284,0.7347112268211041,0.7505056404927342,0.7219648372535044,0.7949178532311062,0.7422418875833013,0.7223212164409598,0.7961630695443646,0.7479062897961135,0.7398911533284944
0.6,0.7255,0.7547279179480305,0.7346846607512885,0.7505879142258907,0.7220836303159895,0.7947897022060436,0.7392494599865898,0.7210738892848657,0.794719356530862,0.7474750973216446,0.735627989009572
0.7,0.7248,0.7529132853518636,0.7342596036342384,0.7485936288435731,0.7216678545972915,0.7944195841010793,0.7476374360852578,0.7221430268472321,0.7967324237420701,0.746789146336693,0.7445698904868907
0.8,0.7221,0.7486279870026487,0.7321874501886191,0.7445059526797012,0.7213114754098361,0.7943187795896897,0.745284970407169,0.7219648372535044,0.7950615121929863,0.7421425539343733,0.7430108245428744
0.9,0.7194,0.7423600488625858,0.7300090324637373,0.7385482524724887,0.7195889760038013,0.7957249794470166,0.7362902531850342,0.7223212164409598,0.797610286159574,0.7345060464738923,0.7319507647373293
0.95,0.7165,0.7383111616462092,0.7270601987142022,0.7329814039999211,0.7152530292230934,0.7934332988624612,0.7299377870796683,0.7180446661914944,0.7953614691554942,0.7278049514152385,0.7264534228822854
