Model,ACC_old,ACC_new,F1_old,F1_new,RMSE_old,RMSE_new,RD,AUC_old,AUC_new
CLEAN(w/o OCM),0.6616824144573892,0.7592249368155013,0.7197142422860617,0.6614546316038853,0.4631427767371975,0.39123504440917517,0.0,0.7381669112682736,0.8477890010547388
CLEAN(w/o OrthoMask),0.6228786349876159,0.7629317607413648,0.5923648983639068,0.6740792216817234,0.4667298269675126,0.38990719541258995,0.0,0.7097026881834941,0.8492083060112581
CLEAN(w/o FrozenBias),0.6016879185395835,0.7543386689132267,0.2858552631578947,0.6007667031763417,0.5093070358020702,0.4298311183853325,0.0,0.8065894016338102,0.7311426236168631
CLEAN-Full,0.7292908907439685,0.7534962089300759,0.7255139056831923,0.5990682378733899,0.4186336080154157,0.4414711921036457,0.0,0.8072208524306842,0.7165819337278754
