alpha,sel_DNA_validACC,Base_te_AUCold,Base_te_ACCold,DNA_te_AUCnew,DNA_te_ACCnew,DNA_te_F1new,LoRA_te_AUCnew,LoRA_te_ACCnew,LoRA_te_F1new,DNA_va_AUCnew,LoRA_va_AUCnew
0.1,0.7704,0.8199215113149307,0.7860255769093377,0.7976193220429144,0.7474210690840888,0.8117866293966923,0.7846145662152133,0.7385120350109409,0.8080321285140563,0.8046908244533182,0.788590087549027
0.2,0.7688,0.8185195651365176,0.7838822604843895,0.7942691207064431,0.7472647702407003,0.8115164937638419,0.7869558165405174,0.7375742419506096,0.8057387481198658,0.8022426387303392,0.7923301877573503
0.3,0.7692,0.8172250487751818,0.7819532757019362,0.7949045001217773,0.744138793372929,0.8090071170225178,0.7888366606047552,0.7394498280712722,0.8079271805507547,0.8028287974557036,0.7926999724604785
0.4,0.7675,0.8157143916535619,0.7824533828677573,0.7911903233326572,0.7422632072522664,0.8076967930029154,0.7839776743642686,0.7363238512035011,0.8057570523891767,0.799446155793738,0.7885497776849921
0.5,0.7665,0.8123263427372098,0.7785954133028506,0.7927673242980082,0.7430447014692091,0.8073136427566807,0.7837509133285736,0.7367927477336668,0.8060354756968441,0.7996226641377686,0.7879258076408846
0.6,0.7649,0.8100184309703373,0.7768093162820604,0.7952380704033563,0.736011253516724,0.8013642243913913,0.7873978649624472,0.738824632697718,0.8038041563930962,0.7997669134859259,0.7919857771697367
0.7,0.7619,0.8056582044179634,0.7755233264270915,0.7850626643795859,0.7347608627696155,0.8017754935171125,0.7742711233798033,0.7260081275398562,0.7946104276508494,0.7933955674696065,0.7812288178882518
0.8,0.7567,0.8054809039527423,0.7762377652354076,0.777230386187395,0.7299155986245702,0.7965622792559454,0.7694169873638611,0.7258518286964677,0.7931603773584905,0.786514129551239,0.7776417952214487
0.9,0.7534,0.8024855201951057,0.7746659998571123,0.7795218304434514,0.7230384495154736,0.7879875568317779,0.7601743368882523,0.7192872772741482,0.7881575843359283,0.7846057961808901,0.7690930502685103
0.95,0.751,0.7998944425980351,0.7709509180538687,0.7744414549213351,0.7195998749609253,0.7849952061361457,0.7570471937278773,0.7142857142857143,0.783719829626124,0.7801753756701654,0.7640620905161883
