Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.8015148564626382,-,0.4303629190452426,-,0.7086505825153656,-,0.6864758144126357,-,
Ours-Ablated,0.7266175908279976,0.8336816505820888,0.46938455226490666,0.3989717375208114,0.6617741491606275,0.7580454928390902,0.6832202079216427,0.6643291257597008,0.0
Ours (Dynamic DNA),0.8015148564626382,0.7118725615596784,0.4303629192572239,0.4455184856903597,0.7086505825153656,0.7423757371524853,0.6864758144126357,0.5938911022576361,0.0
Ours (LoRA),0.8015148564626382,0.6881298350035245,0.4303629192572239,0.46615879779578,0.7086505825153656,0.7066554338668913,0.6864758144126357,0.5331187986055242,0.0
Full Replay Oracle,0.8040742310939186,0.8208162468414928,0.42863776538739323,0.41188026849040094,0.7169067058068067,0.7433866891322662,0.7045193412485637,0.6523624743209313,0.0878150686621666
Naive FT (NFT),0.7559621937535477,0.8353700356322521,0.46827841204609444,0.39740847575515476,0.6636088432253922,0.7521482729570346,0.6068403559558272,0.6586214899048504,0.08940621465444565
