Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
Base,0.6606783611990259,-,0.45638644653070953,-,0.6941692991379772,-,0.7869451697127937,-,
Ours-Ablated,0.6294516905661443,0.7179692168313858,0.5472961385295071,0.45151595092408203,0.4446110189002516,0.6915599810336652,0.3806054815787902,0.7693671334869704,0.0
Ours (Dynamic DNA),0.6606783611990259,0.7059913371512556,0.45638644653070953,0.4531838445035643,0.6941692991379772,0.6752015173067805,0.7869451697127937,0.7790678922754395,0.0
Ours (LoRA),0.6606783611990259,0.7224116793373481,0.45638644653070953,0.44742891597365286,0.6941692991379772,0.6981981981981982,0.7869451697127937,0.7831715210355987,0.0
Full Replay Oracle,0.6559977001755128,0.6925275779968068,0.45640150293836745,0.45981894500329423,0.7012368153343684,0.6674964438122333,0.7954545454545454,0.7757255936675461,0.026509644463658333
Naive FT (NFT),0.6136970291758093,0.68498523794417,0.5945607685125296,0.4620991302294666,0.5016865663650479,0.6788762446657184,0.5128500392567391,0.759306974677921,0.05235261842608452
EWC (lambda=10000),0.7064402337693401,0.6806159342412401,0.4971618531967694,0.5065923596685984,0.6864592814691867,0.6666666666666666,0.7691033830139579,0.7437112650382792,0.0858551561832428
DER++ (mem=5000),0.6803072682602465,0.6658785468339983,0.502428424935896,0.51031848993498,0.6709321625528725,0.6482930298719772,0.7589236683141132,0.728719027155527,0.11643486469984055
C-LoRA (lambda=10),0.6839123901626794,0.688902256997443,0.4675924583846436,0.4740435559065052,0.6763934250682658,0.6731863442389758,0.7666229052436482,0.7569426077757208,0.14744195342063904
