alpha,ACC_old,AUC_old,RMSE_old,F1_old
0.2,0.7292908907439685,0.8072208524306842,0.4186336080154157,0.7255139056831923
0.15,0.7268140537565361,0.804213790932735,0.4197849254221138,0.7254793510324484
0.1,0.7262636455371067,0.8025560614374324,0.42048676226334336,0.7274885844748858
0.05,0.7257132373176772,0.8005986907475005,0.4212671798127697,0.7300469483568075
0.35,0.7209430327492891,0.8103724604622717,0.4178319815890889,0.710781517398745
0.25,0.7208512980460509,0.8056999950302093,0.41940394372529755,0.7124090350628485
0.45,0.7207595633428125,0.8091239949274327,0.41957112000794766,0.7067437379576108
0.3,0.7177323181359508,0.8056707848313871,0.4196888026416816,0.7067568855427427
0.5,0.7177323181359508,0.807552560608627,0.4206188124049521,0.7034216867469879
0.4,0.7146133382258508,0.8054574219092042,0.4219563977270784,0.6952688803996474
0.55,0.7137877258967067,0.8052809098165538,0.42326512895382906,0.6963799143635656
0.65,0.7132373176772773,0.8054754078186642,0.4250016428183422,0.6933490288404944
0.7,0.7122282359416567,0.8030370661871327,0.42723559513422527,0.6929025942241801
0.6,0.7113108889092744,0.8004373584919694,0.4365781757275583,0.6906517251548215
0.75,0.7094761948445096,0.8014385346757853,0.42983349762106915,0.6872716500444357
0.8,0.7086505825153656,0.8015148564626382,0.4303629190452426,0.6864758144126357
0.9,0.7078249701862215,0.7976537009220482,0.43497657391121775,0.6844347567621124
0.95,0.7068158884506008,0.7955644110240101,0.4367587761903211,0.6828106391425168
0.85,0.7049811943858362,0.7973987371322143,0.4346776346500433,0.6779491287802925
