alpha,sel_DNA_validACC,Base_va_ACCold,DNA_va_ACCnew,Base_te_AUCold,Base_te_ACCold,DNA_te_AUCold,DNA_te_ACCold,DNA_te_AUCnew,DNA_te_ACCnew,DNA_te_F1new,LoRA_te_AUCnew,LoRA_te_ACCnew,LoRA_te_F1new,DNA_va_AUCnew,LoRA_va_AUCnew
0.0,0.7368,0.7322504106588793,0.7414086423953726,0.7989930595350508,0.7247041555820567,0.7989930595350508,0.7247041555820567,0.7014545381998373,0.7521482729570346,0.6099177936886767,0.6513249606700139,0.690480202190396,0.5438291532157934,0.7003454855517379,0.6570416018002989
0.05,0.7374,0.7326154407738639,0.7420891459680163,0.8005986907475005,0.7257132373176772,0.8005986907475005,0.7257132373176772,0.71357230205329,0.7518112889637742,0.6066755674232309,0.6605702364918531,0.690480202190396,0.5415522835038682,0.7120141546695253,0.6663414565598592
0.1,0.7384,0.7344405913487863,0.7424293977543382,0.8025560614374324,0.7262636455371067,0.8025560783414828,0.7262636455371067,0.6977862908052527,0.7561920808761584,0.6073270013568521,0.6592166801802717,0.6909856781802864,0.5458147597820703,0.6986341175514088,0.6656398458664692
0.15,0.7405,0.7375433473261545,0.7434501531133039,0.804213790932735,0.7268140537565361,0.804213790932735,0.7268140537565361,0.6961975325186023,0.7541701769165965,0.5977391783843397,0.6574813049248998,0.69469250210615,0.5510406342913776,0.6977478196368688,0.6642692458638594
0.2,0.7406,0.736448256981201,0.7448111602585914,0.8072208524306842,0.7292908907439685,0.8072208524306842,0.7292908907439685,0.715353287294225,0.7528222409435552,0.5975308641975309,0.6681055456472516,0.6943555181128896,0.5516559565002471,0.7146241163368895,0.6738042255231718
0.25,0.7401,0.7337105311188173,0.7465124191902007,0.8056999950302093,0.7208512980460509,0.8056999950302093,0.7208512980460509,0.6944788453734912,0.7555181128896378,0.6001653348029761,0.6593210122380312,0.6953664700926706,0.554679802955665,0.6957556567989489,0.6688337303104853
0.3,0.7381,0.728965139624019,0.7471929227628445,0.8056707848313871,0.7177323181359508,0.8056707848313871,0.7177323181359508,0.698201548706822,0.754675652906487,0.5980121479845389,0.6688607767424457,0.7037910699241786,0.5657114624505929,0.7002516363388167,0.6781077388964336
0.35,0.7389,0.728965139624019,0.7488941816944539,0.8103724604622717,0.7209430327492891,0.8103724604622717,0.7209430327492891,0.7074968261221876,0.7541701769165965,0.6012571740912818,0.6741963294689692,0.6963774220724516,0.5521868787276342,0.7103125730844473,0.6827871509888295
0.4,0.736,0.7242197481292206,0.7478734263354883,0.8054574219092042,0.7146133382258508,0.8054574219092042,0.7146133382258508,0.7016330256949217,0.7551811288963775,0.5998347562654917,0.6756171401196475,0.7016006739679865,0.5660377358490566,0.7039034748298418,0.6843625129105402
0.45,0.7376,0.7265924438766198,0.748553929908132,0.8091239949274327,0.7207595633428125,0.8091239949274327,0.7207595633428125,0.7049196423574854,0.7551811288963775,0.604625850340136,0.674431280495012,0.6992417860151643,0.55980271270037,0.7075924515120764,0.6828022070122928
