Method,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
EWC (lambda=10000),0.7023,0.6690,0.5208,0.5333,0.6753,0.6509,0.7536,0.7294,0.0883
DER++ (mem=5000),0.7171,0.6673,0.4480,0.4709,0.6997,0.6631,0.7834,0.7557,0.0247
C-LoRA (lambda=10000),0.6999,0.6674,0.5201,0.5339,0.6769,0.6425,0.7555,0.7187,0.1320
