ortho_lambda,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
0.0,0.6661399702691564,0.7558128577748902,0.5959198921337798,0.5315325125608138,0.6353545546280158,0.6828980623420388,0.6184122108092541,0.5235443037974683,0.27862006425857544
0.01,0.6649757376166845,0.7689814706767317,0.5941352655690124,0.5006280663782335,0.6148977158058894,0.6967144060657119,0.5656043046357616,0.5322245322245323,0.2364644557237625
0.1,0.6882513131911432,0.7505300043439276,0.5820654840896001,0.4955152059832649,0.6162737363544629,0.6896377422072452,0.4948677695930443,0.5061662198391421,0.2336488664150238
0.3,0.6797730191749404,0.7404997599672561,0.5873313700378445,0.4979575222329232,0.6087514906889276,0.6886267902274642,0.4571719485808833,0.5092936802973977,0.23920534551143646
0.5,0.6867190624608037,0.7324690146963279,0.583513415323337,0.5013931616544667,0.6100357765342629,0.6839090143218197,0.44956623073935,0.5,0.22732378542423248
0.7,0.6902602074262197,0.7305113613407505,0.5796616356744979,0.5018476054798603,0.6113200623795982,0.6813816343723673,0.4582534202787367,0.500132170235263,0.21885289251804352
1.0,0.6939121246328863,0.7304759775280167,0.5758978276064026,0.5010583196443126,0.61434730758646,0.6845829823083404,0.4691919191919192,0.5086614173228347,0.2133920043706894
10.0,0.698561431516114,0.6871143070306129,0.5186767680131814,0.4633198664274744,0.6338867993762041,0.7162594776748105,0.5853506493506494,0.49761336515513127,0.17257599532604218
