dataset,ortho_lambda,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
math1,0.0,0.6661399702691564,0.7558128577748902,0.5959198921337798,0.5315325125608138,0.6353545546280158,0.6828980623420388,0.6184122108092541,0.5235443037974683,0.2786200642585754
math1,0.01,0.6649757376166845,0.7689814706767317,0.5941352655690124,0.5006280663782335,0.6148977158058894,0.6967144060657119,0.5656043046357616,0.5322245322245323,0.2364644557237625
math1,0.1,0.6882513131911432,0.7505300043439276,0.5820654840896001,0.4955152059832649,0.6162737363544629,0.6896377422072452,0.4948677695930443,0.5061662198391421,0.2336488664150238
math1,0.3,0.6797730191749404,0.7404997599672561,0.5873313700378445,0.4979575222329232,0.6087514906889276,0.6886267902274642,0.4571719485808833,0.5092936802973977,0.2392053455114364
math1,0.5,0.6867190624608037,0.7324690146963279,0.583513415323337,0.5013931616544667,0.6100357765342629,0.6839090143218197,0.44956623073935,0.5,0.2273237854242324
math1,0.7,0.6902602074262197,0.7305113613407505,0.5796616356744979,0.5018476054798603,0.6113200623795982,0.6813816343723673,0.4582534202787367,0.500132170235263,0.2188528925180435
math1,1.0,0.6939121246328863,0.7304759775280167,0.5758978276064026,0.5010583196443126,0.61434730758646,0.6845829823083404,0.4691919191919192,0.5086614173228347,0.2133920043706894
math1,10.0,0.698561431516114,0.6871143070306129,0.5186767680131814,0.4633198664274744,0.6338867993762041,0.7162594776748105,0.5853506493506494,0.4976133651551312,0.1725759953260421
a0910,0.0,0.6386530813544404,0.7408736165740057,0.5415550814287656,0.4471592416514341,0.5947611710323575,0.7118674269422666,0.6604185218165628,0.7819089151643214,0.0298350378870964
a0910,0.01,0.7194501286378733,0.7365854329972041,0.4692543770507876,0.4445678612212786,0.6865735083151798,0.7171537182228558,0.7611160605815178,0.7883555555555556,0.0258676968514919
a0910,0.1,0.7156136916555766,0.7432056416204404,0.4586449091989083,0.4396145748583548,0.7070293820732161,0.7191732002851033,0.7873669597408607,0.7902581847218525,0.0246947668492794
a0910,0.3,0.7230788970914789,0.7411155927562675,0.4558776264244455,0.4413413872607036,0.710137612241645,0.7179852696602519,0.7894482931630035,0.7889214901751578,0.0237796809524297
a0910,0.5,0.7257205964952909,0.7392237623205163,0.4521162674028929,0.441236516236197,0.7131927102704426,0.7178070800665242,0.792639827904118,0.7892098141000045,0.0219567846506834
a0910,0.7,0.7256400407090877,0.7390670584411163,0.450618534492239,0.440932876797864,0.7137505977365709,0.7201235447849845,0.7932377717652025,0.7907637655417407,0.0184635464102029
a0910,1.0,0.7261460079854003,0.7380207331028347,0.4494643995839428,0.4412939387086245,0.7157164869029276,0.7181634592539796,0.7954037053323901,0.7890454808162539,0.0186770595610141
a0910,10.0,0.7398359098996568,0.7210732596663854,0.4369646364365586,0.441839484734418,0.7277509165294086,0.7203017343787123,0.8096228868660598,0.7956251898789115,0.0142470570281147
