Model,epoch,ACC_new,AUC_new
ICD,1,0.7148690030622661,0.7230223662247222
ICD,2,0.7148690030622661,0.7230223662247222
ICD,3,0.7148690030622661,0.7230223662247222
ICD,4,0.7148690030622661,0.7230223662247222
ICD,5,0.7148690030622661,0.7230223662247222
ICD,6,0.7148690030622661,0.7230223662247222
ICD,7,0.7148690030622661,0.7230223662247222
ICD,8,0.7148690030622661,0.7230223662247222
ICD,9,0.7148690030622661,0.7230223662247222
ICD,10,0.7148690030622661,0.7230223662247222
ICD,11,0.7148690030622661,0.7230223662247222
ICD,12,0.7148690030622661,0.7230223662247222
ICD,13,0.7148690030622661,0.7230223662247222
ICD,14,0.7148690030622661,0.7230223662247222
ICD,15,0.7148690030622661,0.7230223662247222
ICD,16,0.7148690030622661,0.7230223662247222
ICD,17,0.7148690030622661,0.7230223662247222
ICD,18,0.7148690030622661,0.7230223662247222
ICD,19,0.7148690030622661,0.7230223662247222
ICD,20,0.7148690030622661,0.7230223662247222
ICD,21,0.7148690030622661,0.7230223662247222
ICD,22,0.7148690030622661,0.7230223662247222
ICD,23,0.7148690030622661,0.7230223662247222
ICD,24,0.7148690030622661,0.7230223662247222
