alpha,sel_DNA_validAUC,Base_te_AUCold,Base_te_ACCold,DNA_te_AUCnew,DNA_te_ACCnew,DNA_te_F1new,LoRA_te_AUCnew,LoRA_te_ACCnew,LoRA_te_F1new,DNA_va_AUCnew,LoRA_va_AUCnew
0.1,0.8217,0.8401678198660141,0.7767022696929239,0.8089676229928979,0.8162355040142729,0.44623655913978494,0.8008945749652927,0.8189116859946476,0.428169014084507,0.8129223970252943,0.8044033413912587
0.2,0.8207,0.8412153196848505,0.7813751668891856,0.8068525491368959,0.8168302111210229,0.44,0.8022850944347975,0.8209931608682723,0.41779497098646035,0.810684283180977,0.8039981193403092
0.3,0.8304,0.854190873857733,0.7873831775700935,0.8157380355062339,0.8177222717811478,0.44323342415985467,0.8096695786480491,0.8168302111210229,0.42105263157894735,0.823953292657269,0.8172974533806789
0.4,0.8299,0.8533092948117272,0.787716955941255,0.8155229290634193,0.8165328575676479,0.4436429215509468,0.8098230268238571,0.8177222717811478,0.44323342415985467,0.8223957371713676,0.8192763324559783
0.5,0.8303,0.8535539279993802,0.7857142857142857,0.816532339063553,0.8162355040142729,0.44919786096256686,0.8105149385984098,0.8129646149271483,0.43889384478144516,0.823355925580836,0.8195661601480483
0.6,0.8296,0.8535529284766523,0.7863818424566088,0.8164927215345263,0.8144513826940232,0.44483985765124556,0.8053004905877679,0.8120725542670235,0.4397163120567376,0.8224504824020918,0.8157554627152777
0.7,0.8273,0.8535244420789073,0.7880507343124166,0.8125318056218948,0.8153434433541481,0.45574057843996496,0.8093875130012455,0.8162355040142729,0.4472271914132379,0.8194620368660823,0.8166743238427288
0.8,0.8262,0.8531068914593282,0.7863818424566088,0.8098509264921858,0.8177222717811478,0.46275197195442597,0.8097789453478977,0.8218852215283973,0.4637421665174575,0.817357565790886,0.8161451199457271
0.9,0.8244,0.8491068015022827,0.7897196261682243,0.8100883526696636,0.815938150460898,0.46775580395528804,0.7984371721788972,0.8195063931013976,0.4321796071094481,0.8145918582034117,0.8050967809804335
0.95,0.8238,0.8487589675929744,0.7873831775700935,0.8096818545021137,0.8153434433541481,0.4669527896995708,0.7978233794756647,0.8177222717811478,0.43293246993524515,0.8137857078450988,0.8045090748270695
