Model,epoch,ACC_new,AUC_new
CLEAN-Full,1,0.7274583191561755,0.7390284247685639
CLEAN-Full,2,0.7502551888397414,0.8175470927320561
CLEAN-Full,3,0.7441306566859476,0.8398766811304866
CLEAN-Full,4,0.7567199727798571,0.8439478298749649
CLEAN-Full,5,0.7539979584892821,0.8443242304615475
CLEAN-Full,6,0.7519564477713508,0.8435538639276748
CLEAN-Full,7,0.7478734263354883,0.8426123605937693
CLEAN-Full,8,0.7471929227628445,0.8413059996246033
CLEAN-Full,9,0.7461721674038788,0.8379575400063637
CLEAN-Full,10,0.7448111602585914,0.8350873600668085
CLEAN-Full,11,0.7448111602585914,0.8328846638341267
CLEAN-Full,12,0.7400476352500851,0.8269089281215402
CLEAN-Full,13,0.7369853691731881,0.8230688893372239
CLEAN-Full,14,0.7363048656005444,0.8210661872828796
CLEAN-Full,15,0.7339231030962913,0.8190421558619623
CLEAN-LoRA,1,0.6036066689350119,0.6125407641835269
CLEAN-LoRA,2,0.6628104797550187,0.6745700752500052
CLEAN-LoRA,3,0.6655324940455938,0.6947903147612265
CLEAN-LoRA,4,0.6662129976182375,0.6970010408730887
CLEAN-LoRA,5,0.6668935011908812,0.6962484906336478
CLEAN-LoRA,6,0.6662129976182375,0.6908757486607667
CLEAN-LoRA,7,0.6532834297380061,0.684963248246726
CLEAN-LoRA,8,0.6502211636611093,0.6808042726987118
CLEAN-LoRA,9,0.6485199047294998,0.6786005727311326
CLEAN-LoRA,10,0.6526029261653624,0.6759547275411808
CLEAN-LoRA,11,0.6600884654644437,0.6751823535375131
CLEAN-LoRA,12,0.6658727458319156,0.6755991544537223
CLEAN-LoRA,13,0.6743790404899626,0.6746363217532438
CLEAN-LoRA,14,0.6890098673018034,0.6737761209460402
CLEAN-LoRA,15,0.6903708744470909,0.6710820964810058
Full-Replay,1,0.7584212317114665,0.8379946781975731
Full-Replay,2,0.7553589656345696,0.8354898577607276
Full-Replay,3,0.7536577067029602,0.8323858075900425
Full-Replay,4,0.7437904048996257,0.8262695489917985
Full-Replay,5,0.73732562095951,0.8219615188114976
Full-Replay,6,0.7329023477373257,0.814428990272805
Full-Replay,7,0.7288193263014631,0.811658932889281
Full-Replay,8,0.7203130316434161,0.8073340901494461
Full-Replay,9,0.7179312691391629,0.8015857003911555
Full-Replay,10,0.7148690030622661,0.8009031606608189
Full-Replay,11,0.715209254848588,0.7956641663630367
Full-Replay,12,0.7111262334127254,0.7928396563613205
Full-Replay,13,0.712146988771691,0.7843119246717034
Full-Replay,14,0.7104457298400817,0.7819797466372372
Full-Replay,15,0.7128274923443348,0.7773384764709484
X-DER,1,0.7312010888057162,0.8118338336951798
X-DER,2,0.7312010888057162,0.8377623135687896
X-DER,3,0.7383463763184757,0.8397042896618316
X-DER,4,0.7522966995576726,0.8414349795589388
X-DER,5,0.7529772031303165,0.8422113685021966
X-DER,6,0.7567199727798571,0.8422791206077817
X-DER,7,0.7567199727798571,0.8410023698180931
X-DER,8,0.7546784620619258,0.8409657334943325
X-DER,9,0.7522966995576726,0.8389391927361712
X-DER,10,0.7471929227628445,0.8368895660753666
X-DER,11,0.7471929227628445,0.8343240196772189
X-DER,12,0.7451514120449132,0.8320972338069959
X-DER,13,0.7444709084722695,0.8283543063740176
X-DER,14,0.7383463763184757,0.8235820488035983
X-DER,15,0.7383463763184757,0.820215020089754
C-LoRA-GNCDM,1,0.6790227464195451,0.6857766859822133
C-LoRA-GNCDM,2,0.7489469250210615,0.8153341398835044
C-LoRA-GNCDM,3,0.7391743892165122,0.81008993260262
C-LoRA-GNCDM,4,0.7310867733782646,0.8034481901932635
C-LoRA-GNCDM,5,0.7275484414490312,0.7991382661379672
C-LoRA-GNCDM,6,0.7260320134793598,0.7954244714950764
C-LoRA-GNCDM,7,0.7160909856781803,0.7875237805571218
C-LoRA-GNCDM,8,0.7255265374894693,0.7903143964688459
C-LoRA-GNCDM,9,0.7125526537489469,0.7801641984575168
C-LoRA-GNCDM,10,0.7137320977253581,0.7801401700882312
C-LoRA-GNCDM,11,0.7182813816343724,0.7815333136087399
C-LoRA-GNCDM,12,0.7139005897219882,0.7772474806599861
C-LoRA-GNCDM,13,0.7179443976411121,0.7808391886014937
C-LoRA-GNCDM,14,0.7139005897219882,0.7787941422474445
C-LoRA-GNCDM,15,0.7066554338668913,0.7716050172740762
C-LoRA-GNCDM,16,0.7159224936815501,0.7744921858237389
C-LoRA-GNCDM,17,0.7223251895534962,0.7842734260288846
C-LoRA-GNCDM,18,0.7184498736310025,0.776104156895339
C-LoRA-GNCDM,19,0.7100252737994945,0.7715095939067569
C-LoRA-GNCDM,20,0.7083403538331929,0.7697811197496132
C-LoRA-GNCDM,21,0.6994102780117945,0.761787828620887
C-LoRA-GNCDM,22,0.6970513900589722,0.7598917832513107
C-LoRA-GNCDM,23,0.6965459140690817,0.7545574225326628
C-LoRA-GNCDM,24,0.696882898062342,0.7534808512090598
C-LoRA-GNCDM,25,0.6899747262005055,0.7455385654699659
