Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8038476492044447,-,0.4200271615007646,-,0.7282818090083478,-,0.7352520557740436,-,
Ours (Dynamic DNA),0.8038476323003945,0.7212896747274005,0.42002716162404047,0.45200456962011293,0.7282818090083478,0.686267902274642,0.7352520557740436,0.565967365967366,0.0
Ours (LoRA),0.8038476323003945,0.7073323290353293,0.42002716162404047,0.4661557144330204,0.7282818090083478,0.6719460825610784,0.7352520557740436,0.5385162360748993,0.0
Full Replay Oracle,0.805616235461249,0.8304814858591479,0.42519237736822124,0.4010364398637995,0.7180992569489038,0.7487784330244314,0.7183576207497021,0.6756580378507723,0.08501192182302475
