method,n,ACC_old_mean,ACC_new_mean,ACC_overall_mean,ACC_overall_sd
Full-Replay,10,0.7854540258626848,0.7547358549546732,0.7758176023535179,0.0018046184295332371
CLEAN-Full,10,0.784039437022219,0.7453110346983431,0.7718901691591076,0.0011202531246069574
CLEAN-LoRA,10,0.784039437022219,0.7356517661769303,0.7688600147094876,0.0018578105221774201
X-DER,10,0.7759019789954991,0.7318693341669271,0.7620887472419711,0.0023314868704863456
DER++,10,0.7653425734085875,0.7426539543607376,0.7582250551605786,0.00215801051490691
C-LoRA,10,0.712581267414446,0.7311659893716786,0.7184113753370923,0.013422013776068878
EWC,10,0.7154318782596271,0.7158330728352609,0.7155577347389067,0.014120688161697818
C-LoRA-GNCDM,10,0.6717082231906837,0.7510628321350422,0.6966021083598921,0.05008980875386159
ICD,10,0.7001285845669538,0.6683502479318384,0.6901595824688187,0.004021247290963545
