method,n,ACC_old_mean,ACC_new_mean,ACC_overall_mean,ACC_overall_sd
Full-Replay,10,0.7365894479570694,0.7299239724400095,0.7345295348581079,0.0017359380356593537
CLEAN-Full,10,0.7351150310823017,0.7221489665003564,0.7311079701898013,0.0014730658214209076
CLEAN-LoRA,10,0.7351150310823017,0.7211689237348538,0.7308050956349352,0.0016837329706873587
X-DER,10,0.7286275968333246,0.6982834402470895,0.7192499724659495,0.0009905854140532986
C-LoRA-GNCDM,10,0.7010573295786622,0.7120634354953671,0.7044586805683029,0.01732023874377189
DER++,10,0.6949577599489931,0.6765799477310526,0.689278240757737,0.002786817649441784
C-LoRA,10,0.6764358960735349,0.6428308386790211,0.666050515804545,0.0023061726306109406
EWC,10,0.668718452792094,0.6409242100261345,0.6601288593560704,0.006158790465869181
ICD,10,0.5439768246559911,0.6500000000000001,0.5767424581243954,1.1702778228589004e-16
