Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.7576221796349436,-,0.42657512812586806,-,0.7333829233303225,-,0.8107700429896674,-,
Ours (Dynamic DNA),0.7576221796349436,0.7516433344626166,0.42657512812586806,0.4340371490062401,0.7333829233303225,0.7215490615348064,0.8107700429896674,0.7929694400282635,0.0
Ours (LoRA),0.7576221796349436,0.7418295499140768,0.42657512812586806,0.43932624224298167,0.7333829233303225,0.7169161320978855,0.8107700429896674,0.791239597021463,0.0
Full Replay Oracle,0.7603642996129945,0.760456840411222,0.42653767101622775,0.42987520903947674,0.7378725891291642,0.7302209550962224,0.8173826136847365,0.8039029444780244,0.06496719270944595
