Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.7618131055610107,-,0.4254196516725343,-,0.7364911534987514,-,0.8131628020870614,-,
Ours (Dynamic DNA),0.7618131055610107,0.7512913878346547,0.4254196516725343,0.4336268391837496,0.7364911534987514,0.7235685435970539,0.8131628020870614,0.7967330538085255,0.0
Ours (LoRA),0.7618131055610107,0.751433991569487,0.4254196516725343,0.4335788485389108,0.7364911534987514,0.7233309574720836,0.8131628020870614,0.7986687413554634,0.0
Full Replay Oracle,0.7634960484354857,0.7628364305557274,0.4269006012503758,0.42966291679059276,0.736517719568567,0.7277263007840342,0.8139561057962859,0.7991059689718644,0.058844923973083496
