dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
math1,random,2f297742f011b7e7,5,5,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8073461959632452,,0.4195733229255714,,0.7204843592330978,,0.715844446516833,,
math1,random,2f297742f011b7e7,5,5,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7643583002774632,0.81332278343626,0.5045968439582932,0.42740601736299627,0.6823227226859921,0.731592249368155,0.6418450718792016,0.6000502134069796,0.09722934663295746
math1,random,2f297742f011b7e7,5,5,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7969221781477286,0.8428437995389063,0.4296148418160917,0.38918263001027026,0.7158058893679479,0.75787700084246,0.7086155003762227,0.6590747330960854,0.028987549245357513
math1,random,2f297742f011b7e7,5,5,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.770065952842433,0.7964503511153302,0.49920354879981843,0.45542391991226205,0.6898449683515274,0.7203032855939343,0.6676496608670008,0.6009615384615384,0.10806933045387268
math1,random,2f297742f011b7e7,5,5,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8077122024591334,0.8432830858097611,0.4191422392090587,0.3930988990244827,0.7269975231630126,0.7459140690817186,0.7275224317890496,0.6424845898530109,0.06072930991649628
math1,random,2f297742f011b7e7,5,5,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8087269356912457,0.8391308204803515,0.4193646099817226,0.39386376571340925,0.7235116044399597,0.7499578770008425,0.7251504650738647,0.6706613404349756,0.06760314106941223
math1,random,2f297742f011b7e7,5,5,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.7145502964801372,0.7003458454008447,0.5276564814124509,0.4737102202586717,0.6369140445830658,0.7100252737994945,0.6295394983152377,0.49007407407407405,0.1960608959197998
math1,random,2f297742f011b7e7,5,5,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
math1,random,2f297742f011b7e7,5,5,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8073461959632452,0.5725215709509437,0.41957332321012536,0.5123636322317016,0.7204843592330978,0.6102780117944397,0.715844446516833,0.5113036129304881,0.0
math1,random,2f297742f011b7e7,5,5,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8073461959632452,0.5690584116482509,0.41957332321012536,0.5119186470988102,0.7204843592330978,0.6163437236731255,0.715844446516833,0.5001097694840835,0.0
