method,n,ACC_old_mean,ACC_new_mean,ACC_overall_mean,ACC_overall_sd
CLEAN-LoRA,10,0.7023986721636237,0.6992413466097676,0.7014162947663483,0.004456355701626008
CLEAN-Full,10,0.7023986721636237,0.6830132764343291,0.696367056393612,0.004499626033442377
X-DER,10,0.6995341864325105,0.6687292555713608,0.6899494707335964,0.004545346555468139
Full-Replay,10,0.6952026556727526,0.6781768610715979,0.689905211522148,0.004839623039841748
C-LoRA,10,0.6880815976869947,0.6722498814604079,0.6831556817762697,0.006232825509130986
EWC,10,0.6872998875622424,0.6547889995258416,0.6771843764983587,0.006322657285961584
DER++,10,0.6732505220324463,0.6528805120910384,0.6669125511747132,0.002147446114854075
C-LoRA-GNCDM,10,0.6290410665524442,0.6474039829302987,0.6347545457898425,0.011557911740296621
ICD,10,0.5133632093299498,0.6338922155688624,0.5508648763026738,0.0
