dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD,n_old_test,n_new_test,Balanced_AUC,Balanced_ACC,ACC_overall
a0910,user,merged_10seed,1,1,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6685083458629069,,0.4484089244885453,,0.7106601702628902,,0.8092346794690766,,,18677,8436,,,
a0910,user,merged_10seed,1,1,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7074091281223229,0.6769699957610217,0.5002102717979099,0.5186856581826109,0.6861915725223537,0.6494784257942152,0.7680557204479798,0.7240832322478306,0.0863502249121666,18677,8436,0.6921895619416722,0.6751776285039122,0.6747685612068012
a0910,user,merged_10seed,1,1,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6979894468092738,0.6740303420391704,0.4990069896883475,0.5122820905383307,0.6773571772768646,0.6529160739687055,0.7610247461928934,0.7280832095096582,0.1158980280160904,18677,8436,0.6860098944242221,0.6700248462844168,0.6697525172426512
a0910,user,merged_10seed,1,1,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6920970992174769,0.6803186736998275,0.4585369923513813,0.4756752917138387,0.6879584515714515,0.6696301564722618,0.7782681479226906,0.7544277028813111,0.1413834989070892,18677,8436,0.6862078864586522,0.6824599630416945,0.6822557444768192
a0910,user,merged_10seed,1,1,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6533865845153852,0.6686102421235932,0.4525582202219231,0.4636324950658383,0.7022541093323339,0.677335229966809,0.8016125004459349,0.7713373655913979,0.0433226600289344,18677,8436,0.6609984133194893,0.6947784455226764,0.6945007929775384
a0910,user,merged_10seed,1,1,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6651447899191686,0.6926971431729263,0.4536742108991247,0.4579924317014151,0.703432028698399,0.6723565670934092,0.7966667890312397,0.7722853847421322,0.0306658335030078,18677,8436,0.6789209665460474,0.694109390216902,0.6937631394533987
a0910,user,merged_10seed,1,1,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6460160571050559,0.6706558166720207,0.4972218613603825,0.4709886337146283,0.6349520800985169,0.6541014698909435,0.7190075832509067,0.7319000367511944,0.0367738083004951,18677,8436,0.6583359368885383,0.6406968970362449,0.6409102644487884
a0910,user,merged_10seed,1,1,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083,18677,8436,0.6327623081941234,0.5495219112016235,0.5508648763026738
a0910,user,merged_10seed,1,1,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6685083458629069,0.6983682201061794,0.4484089244885453,0.4577140189044169,0.7106601702628902,0.6757942152678995,0.8092346794690766,0.7622359384508389,0.0,18677,8436,0.6834382829845431,0.700200383764393,0.6998118983513444
a0910,user,merged_10seed,1,1,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6685083458629069,0.7309063837585521,0.4484089244885453,0.443280067601254,0.7106601702628902,0.7075628259838787,0.8092346794690766,0.788294859692783,0.0,18677,8436,0.6997073648107295,0.7097309669791867,0.7096964555748165
