method,n,ACC_old_mean,ACC_new_mean,ACC_overall_mean,ACC_overall_sd
X-DER,10,0.7254472066782863,0.7512215669755686,0.7345331432644333,0.0015630306259656074
Full-Replay,10,0.7219888083662049,0.7512384161752317,0.7322998336897124,0.0016757823686939877
DER++,10,0.7172186037978168,0.7552148272957036,0.7306129722024234,0.00333717131864818
CLEAN-Full,10,0.7213650123841848,0.7224599831508003,0.7217510097410311,0.016219814099366053
CLEAN-LoRA,10,0.7213650123841848,0.6850042122999157,0.7085471608458066,0.010146224578970573
EWC,10,0.6859278965232549,0.7326705981465881,0.7024055595153242,0.005330564300796673
C-LoRA,10,0.6887991927346115,0.7197809604043809,0.6997208363031598,0.004570081805079227
ICD,10,0.686175580221998,0.7110362257792755,0.6949394155381325,0.0
C-LoRA-GNCDM,10,0.6277405742592423,0.7125021061499579,0.6576205749584224,0.010219312777056759
