dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
math1,random,f4877a6c81b57ed6,21,21,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8056443807049056,,0.4265781434408071,,0.7174571140262361,,0.7095435684647303,,
math1,random,f4877a6c81b57ed6,21,21,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.768818045141252,0.8155977618358226,0.4961997912021259,0.4330097887125783,0.6921383359324833,0.7327716933445662,0.6734773302198871,0.6287453183520599,0.09855806827545166
math1,random,f4877a6c81b57ed6,21,21,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7983610509045188,0.8443022525435565,0.42308163723753445,0.3886351983346958,0.7201174204201449,0.75787700084246,0.7387171362507493,0.6790261335715881,0.007690504193305969
math1,random,f4877a6c81b57ed6,21,21,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7720324686235471,0.7942369807017688,0.4980005103789197,0.4608967228372685,0.6911292541968627,0.7219882055602359,0.6721199727334697,0.6031746031746031,0.11011067032814026
math1,random,f4877a6c81b57ed6,21,21,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8084081760157897,0.8434248092724661,0.4198370933413889,0.39051611568693134,0.7253462985047243,0.7529907329401854,0.7212290502793296,0.6649908592321755,0.06285756826400757
math1,random,f4877a6c81b57ed6,21,21,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8085302232585532,0.8333007099598907,0.42086133205690784,0.39917658252701255,0.7232364003302449,0.7499578770008425,0.7224215659214279,0.6618049225159526,0.050939664244651794
math1,random,f4877a6c81b57ed6,21,21,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6867171692071765,0.7145840657908044,0.5510624225309881,0.4602196252294006,0.6213191450325658,0.7174389216512216,0.6360430259213543,0.5342960288808665,0.1666472852230072
math1,random,f4877a6c81b57ed6,21,21,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
math1,random,f4877a6c81b57ed6,21,21,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8056443638008555,0.6990352013727916,0.4265781435613352,0.45670646194710224,0.7174571140262361,0.7529907329401854,0.7095435684647303,0.5858757062146893,0.0
math1,random,f4877a6c81b57ed6,21,21,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8056443638008555,0.6964885706520634,0.4265781435613352,0.4864825596489148,0.7174571140262361,0.6855939342881213,0.7095435684647303,0.5399408284023669,0.0
