baseline,delta_ACC,ci_ACC_lo,ci_ACC_hi,p_ACC,p_holm_ACC,wins_ACC,losses_ACC,ties_ACC,delta_AUC,ci_AUC_lo,ci_AUC_hi
EWC,0.026741711475887685,0.02319588836868105,0.03082603413875675,0.0625,0.375,5,0,0,-0.039438557944480035,-0.047861042212722624,-0.02759827418627514
DER++,-0.0004939358105927827,-0.0037359496555002146,0.0056174254821694134,1.0,1.0,1,4,0,-0.06866416681683898,-0.07915204503178627,-0.05359958516612562
C-LoRA,0.027951928851584283,0.025824140014206142,0.030079717688962428,0.0625,0.375,5,0,0,-0.030635158829667164,-0.04058982402780953,-0.01651240608885416
X-DER,-0.006430108086974395,-0.012031867723967759,-0.000734699605942657,0.125,0.375,1,4,0,-0.07595130463165205,-0.08761460841307818,-0.060330346344054805
C-LoRA-GNCDM,0.07615293280174087,0.06360168590918636,0.08536821683889007,0.0625,0.375,5,0,0,0.055300287071914964,0.04256940711148458,0.06926009267190605
ICD,0.03345578012482251,0.02804984370709591,0.03901321250216483,0.0625,0.375,5,0,0,-0.005420812656618446,-0.017136064261935636,0.010480590778015686
