Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8196752394535602,-,0.3869728985624611,-,0.7849539186968636,-,0.8549117902246216,-,
Ours (Dynamic DNA),0.8196752394535602,0.7938533052194152,0.3869728985624611,0.4194210783331593,0.7849539186968636,0.7428884026258206,0.8549117902246216,0.8095844426438246,0.0
Ours (LoRA),0.8196752394535602,0.7821214464934181,0.3869728985624611,0.4239817265135688,0.7849539186968636,0.7403876211316036,0.8549117902246216,0.8088827522724658,0.0
Full Replay Oracle,0.8198191813653306,0.8142772357057885,0.386487881228295,0.4089955127061798,0.7858826891476745,0.7536730228196311,0.8585052641518341,0.8154998829313977,0.055094316601753235
