Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8205637496985043,-,0.387272523655634,-,0.7820247195827678,-,0.8525160728960216,-,
Ours (Dynamic DNA),0.8205637496985043,0.7971265809515514,0.387272523655634,0.41651265888560157,0.7820247195827678,0.7439824945295405,0.8525160728960216,0.8092687470889613,0.0
Ours (LoRA),0.8205637496985043,0.7887515469869415,0.387272523655634,0.42114016907427154,0.7820247195827678,0.7361675523601126,0.8525160728960216,0.8062442607897153,0.0
Full Replay Oracle,0.8206697136116448,0.8160006821606134,0.386650959412363,0.40764666132097516,0.7867400157176537,0.7557049077836824,0.8584301636234289,0.817470512670793,0.04066595807671547
