Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8173564504331068,-,0.38784048016086375,-,0.7810245052511252,-,0.8555675981339239,-,
Ours (Dynamic DNA),0.8173564504331068,0.7975587203125838,0.38784048016086375,0.41751953068457254,0.7810245052511252,0.7478899656142545,0.8555675981339239,0.8122016532774479,0.0
Ours (LoRA),0.8173564504331068,0.7772988630134914,0.38784048016086375,0.4257990050189424,0.7810245052511252,0.7386683338543295,0.8555675981339239,0.8103017926026775,0.0
Full Replay Oracle,0.8167915969951679,0.81368936762981,0.38843737881269885,0.40940392616131005,0.7805958419661356,0.755861206627071,0.8564349492777337,0.8178213202705855,0.03760493919253349
