Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8193115104994445,-,0.3866895381051084,-,0.7850253625776952,-,0.8557733787087188,-,
Ours (Dynamic DNA),0.8193115104994445,0.7938743750120604,0.3866895381051084,0.41825188477280467,0.7850253625776952,0.745545482963426,0.8557733787087188,0.8113994439295644,0.0
Ours (LoRA),0.8193115104994445,0.7805720865926755,0.3866895381051084,0.4245993147376902,0.7850253625776952,0.7322600812753985,0.8557733787087188,0.8016672455713789,0.0
Full Replay Oracle,0.8214400769266966,0.8158086549910114,0.3857887987226048,0.4073308628048978,0.7875973422876331,0.7567989996874023,0.8585161566649218,0.8173280112702512,0.040290072560310364
