Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.8189129940435026,-,0.38708041973352847,-,0.7836679288418947,-,0.8560289083301635,-,
Ours (Dynamic DNA),0.8189129940435026,0.7936379656802283,0.38708041973352847,0.4178448216723984,0.7836679288418947,0.7475773679274773,0.8560289083301635,0.8123620309050773,0.0
Ours (LoRA),0.8189129940435026,0.7927511568828598,0.38708041973352847,0.4193832716255442,0.7836679288418947,0.7446076899030947,0.8560289083301635,0.8132144490169182,0.0
Full Replay Oracle,0.821287549006154,0.815118514975981,0.38566682042649686,0.4082480466442728,0.7879545616917911,0.7533604251328541,0.8577181208053691,0.8111536620392532,0.04540301859378815
