Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.7598849261094001,-,0.4259047980414185,-,0.7360395303118856,-,0.8141553194673051,-,
Ours (Dynamic DNA),0.7598849261094001,0.7524488052210455,0.4259047980414185,0.43335269580070684,0.7360395303118856,0.7246376811594203,0.8141553194673051,0.7986273998783772,0.0
Ours (LoRA),0.7598849261094001,0.7487009898469346,0.4259047980414185,0.43446457409674394,0.7360395303118856,0.7247564742219055,0.8141553194673051,0.7984165651644336,0.0
Full Replay Oracle,0.7596899236247543,0.7623401863443977,0.4271679272303984,0.4302574061546583,0.735800435683545,0.729567593252554,0.8142475578550216,0.802206872583518,0.07184787094593048
