Model,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,RD
Base,0.758197055523265,-,0.42641298596863825,-,0.7354816428457573,-,0.8143147529977808,-,
Ours (Dynamic DNA),0.758197055523265,0.747038553808601,0.42641298596863825,0.43497729810483265,0.7354816428457573,0.7215490615348064,0.8143147529977808,0.7977741351048228,0.0
Ours (LoRA),0.758197055523265,0.7363748159026985,0.42641298596863825,0.439664207150314,0.7354816428457573,0.7216678545972915,0.8143147529977808,0.798416931945281,0.0
Full Replay Oracle,0.7588711474340857,0.7594788260005993,0.42837916844481855,0.4308184596481671,0.735003453589076,0.7260631979092421,0.8136802585128042,0.7982325662787646,0.05878108739852905
