item_id,knowledge_code
0,"[1, 4]"
1,"[1, 7]"
2,"[2, 6, 7]"
3,"[3, 4]"
4,"[3, 5, 7]"
5,"[2, 6, 7]"
6,"[1, 4, 7]"
7,"[3, 4, 7]"
8,"[1, 7]"
9,"[2, 6, 7]"
10,"[2, 6, 7]"
11,"[1, 6, 7]"
12,"[1, 4, 6, 7]"
13,"[6, 7, 8, 9]"
14,"[4, 6, 11]"
15,"[1, 3, 4, 6, 7, 8, 11]"
16,"[7, 10]"
17,"[3, 4, 5, 6, 7, 11]"
18,"[4, 6, 7, 8]"
19,"[3, 4, 6, 7, 11]"
