Model,ACC_old,ACC_new,F1_old,F1_new,RMSE_old,RMSE_new,RD,AUC_old,AUC_new
CLEAN(w/o OCM),0.6527841482432805,0.7609098567818029,0.7079700640382687,0.653818004391315,0.4634004414288589,0.3899551498487817,0.0,0.7177516869396942,0.8496040526260186
CLEAN(w/o OrthoMask),0.6253554719750481,0.7612468407750632,0.5913548128877326,0.6510711647377493,0.4653678860564119,0.3899412725532175,0.0,0.7119235592086336,0.8495211767100233
CLEAN(w/o FrozenBias),0.6071920007338776,0.7561920808761584,0.30711974110032364,0.5959229265568277,0.4932986105742711,0.4308624152203603,0.0,0.8067372275531963,0.7278799098490717
CLEAN-Full,0.7292908907439685,0.754675652906487,0.7255139056831923,0.602403058438012,0.4186336080154157,0.4422016580562626,0.0,0.8072208524306842,0.7115822762732966
