baseline,delta_ACC,ci_ACC_lo,ci_ACC_hi,p_ACC,p_holm_ACC,wins_ACC,losses_ACC,ties_ACC,delta_AUC,ci_AUC_lo,ci_AUC_hi
EWC,0.06900924616627754,0.0645586741474801,0.0730208969121744,0.0625,0.375,5,0,0,0.07392863354545354,0.06903266595125916,0.07852567456756895
DER++,0.04070716416274678,0.038557637370155294,0.04260882706238389,0.0625,0.375,5,0,0,0.05342340414426596,0.049374498368314715,0.057654995448749545
C-LoRA,0.0657139204274445,0.06365151443828972,0.06790987043294139,0.0625,0.375,5,0,0,0.07393434378714596,0.07155523608403239,0.07615589080769858
X-DER,0.011793089284754688,0.010511033477678833,0.012940773986443865,0.0625,0.375,5,0,0,0.024984017240376265,0.021264674255313955,0.028376754867957744
C-LoRA-GNCDM,0.03433854216391261,0.02196534951347735,0.055260078036457314,0.0625,0.375,5,0,0,0.022758190191088445,0.011872898888610183,0.04176696480484339
ICD,0.1553686641512613,0.1541006141352478,0.1566272664548482,0.0625,0.375,5,0,0,0.11886870386757298,0.11762363502361281,0.12018520738629863
