Paradigm,Model,Dataset,Metric,mean,std,n
Baselines,EWC,Junyi,RMSE_new,43.9841,0.2131,10.0
Baselines,EWC,Junyi,BD,8.9222,0.1956,10.0
Baselines,EWC,a0910,ACC_last,66.8718,0.6729,10.0
Baselines,EWC,a0910,ACC_new,64.0924,0.6083,10.0
Baselines,EWC,a0910,F1_last,74.7937,0.9057,10.0
Baselines,EWC,a0910,F1_new,71.8403,0.7151,10.0
Baselines,EWC,a0910,RMSE_last,52.5014,0.3837,10.0
Baselines,EWC,a0910,RMSE_new,53.8799,0.4092,10.0
Baselines,EWC,a0910,BD,9.0074,0.0863,10.0
Baselines,EWC,Math1,ACC_last,68.5928,0.5052,10.0
Baselines,EWC,Math1,ACC_new,73.2671,0.8645,10.0
Baselines,EWC,Math1,F1_last,66.0084,1.6317,10.0
Baselines,EWC,Math1,F1_new,61.6367,1.5538,10.0
Baselines,EWC,Math1,RMSE_last,50.3014,0.4542,10.0
Baselines,EWC,Math1,RMSE_new,43.1051,0.6752,10.0
Baselines,EWC,Math1,BD,9.7044,0.2636,10.0
Baselines,DER++,Junyi,ACC_last,76.5343,0.2794,10.0
Baselines,DER++,Junyi,ACC_new,74.2654,0.2571,10.0
Baselines,DER++,Junyi,F1_last,83.6614,0.2449,10.0
Baselines,DER++,Junyi,F1_new,80.4354,0.2457,10.0
Baselines,DER++,Junyi,RMSE_last,40.0022,0.2518,10.0
Baselines,DER++,Junyi,RMSE_new,41.6068,0.127,10.0
Baselines,DER++,Junyi,BD,3.0896,1.1429,10.0
Baselines,DER++,a0910,ACC_last,69.4958,0.4381,10.0
Baselines,DER++,a0910,ACC_new,67.658,0.5117,10.0
Baselines,DER++,a0910,F1_last,77.7369,0.5297,10.0
Baselines,DER++,a0910,F1_new,76.3384,0.3981,10.0
Baselines,DER++,a0910,RMSE_last,45.0836,0.4248,10.0
Baselines,DER++,a0910,RMSE_new,46.2538,0.2575,10.0
Baselines,DER++,a0910,BD,3.6425,0.9401,10.0
Baselines,DER++,Math1,ACC_last,71.7219,0.522,10.0
Baselines,DER++,Math1,ACC_new,75.5215,0.2187,10.0
Baselines,DER++,Math1,F1_last,72.8738,1.357,10.0
Baselines,DER++,Math1,F1_new,67.0244,1.1438,10.0
Baselines,DER++,Math1,RMSE_last,42.561,0.3563,10.0
Baselines,DER++,Math1,RMSE_new,38.9995,0.0959,10.0
Baselines,DER++,Math1,BD,1.321,1.1143,10.0
Baselines,C-LoRA,Junyi,ACC_last,71.2581,2.0078,10.0
Baselines,C-LoRA,Junyi,ACC_new,73.1166,0.3597,10.0
Baselines,C-LoRA,Junyi,F1_last,79.4124,1.7378,10.0
Baselines,C-LoRA,Junyi,F1_new,79.3209,0.3363,10.0
Baselines,C-LoRA,Junyi,RMSE_last,44.0974,1.3089,10.0
Baselines,C-LoRA,Junyi,RMSE_new,42.9259,0.2079,10.0
Baselines,C-LoRA,Junyi,BD,19.6903,0.2723,10.0
Baselines,C-LoRA,a0910,ACC_last,67.6436,0.2821,10.0
Baselines,C-LoRA,a0910,ACC_new,64.2831,0.4635,10.0
Baselines,C-LoRA,a0910,F1_last,75.7935,0.3543,10.0
Baselines,C-LoRA,a0910,F1_new,72.0066,0.4811,10.0
Baselines,C-LoRA,a0910,RMSE_last,52.1324,0.1806,10.0
Baselines,C-LoRA,a0910,RMSE_new,53.9356,0.3479,10.0
Baselines,C-LoRA,a0910,BD,13.1083,0.092,10.0
Baselines,C-LoRA,Math1,ACC_last,68.8799,0.5062,10.0
Baselines,C-LoRA,Math1,ACC_new,71.9781,0.6798,10.0
Baselines,C-LoRA,Math1,F1_last,66.4472,1.6068,10.0
Baselines,C-LoRA,Math1,F1_new,59.8601,1.0828,10.0
Baselines,C-LoRA,Math1,RMSE_last,50.2783,0.4562,10.0
Baselines,C-LoRA,Math1,RMSE_new,46.0489,0.5813,10.0
Baselines,C-LoRA,Math1,BD,10.8169,0.2701,10.0
Baselines,X-DER,Junyi,ACC_last,77.5902,0.4246,10.0
Baselines,X-DER,Junyi,ACC_new,73.1869,0.6913,10.0
Baselines,X-DER,Junyi,F1_last,85.2825,0.2084,10.0
Baselines,X-DER,Junyi,F1_new,79.7261,0.5044,10.0
Baselines,X-DER,Junyi,RMSE_last,39.5951,0.3196,10.0
Baselines,X-DER,Junyi,RMSE_new,42.5366,0.2379,10.0
Baselines,X-DER,Junyi,BD,6.3589,1.0578,10.0
Baselines,X-DER,a0910,ACC_last,72.8628,0.2441,10.0
Baselines,X-DER,a0910,ACC_new,69.8283,0.4393,10.0
Baselines,X-DER,a0910,F1_last,81.1834,0.2788,10.0
Baselines,X-DER,a0910,F1_new,78.2556,0.2401,10.0
Baselines,X-DER,a0910,RMSE_last,43.0211,0.2117,10.0
Baselines,X-DER,a0910,RMSE_new,44.7911,0.2557,10.0
Baselines,X-DER,a0910,BD,7.3168,1.5652,10.0
Baselines,X-DER,Math1,ACC_last,72.5447,0.2146,10.0
