dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
junyi,random,merged_10seed,1,1,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7961999088922225,0.7961308246372631,0.4010033606584036,0.4180789130793834,0.7656640708723298,0.7402313222882151,0.8381845091267883,0.8031738512553293,0.0338897891342639
junyi,random,merged_10seed,1,1,,,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.7454470871503295,0.7811853531563228,0.4329135832895922,0.4305948820325458,0.7281560334357362,0.7258518286964677,0.8079155939219547,0.7899401197604791,0.1940880566835403
junyi,random,merged_10seed,1,1,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7920173154051229,0.7876600378526126,0.4017849862598349,0.4242705218129807,0.7673787240122883,0.7403876211316036,0.8490216080868033,0.8035017153673252,0.08382149040699
junyi,random,merged_10seed,1,1,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8163747505807566,0.8118166594260985,0.3875966840606012,0.4105425014543318,0.7860970207901693,0.7514848390121913,0.8584932413271575,0.8133364639586758,0.0824085026979446
junyi,random,merged_10seed,1,1,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=0.1),gncdm_baseline,False,gncdm_concept,"{""lambda"": 0.1}",fixed_from_existing_result,0.7981442395272251,0.808079483185106,0.4340456349839375,0.4120705375427545,0.73765806958634,0.7496092528915286,0.8038880581072421,0.8109065155807366,0.1367273926734924
junyi,random,merged_10seed,1,1,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7624880479555075,0.7413804990724597,0.4371848991448296,0.480189586659818,0.7140815889119096,0.6256642700844014,0.7859664135201626,0.7697336794538987,1.4228298664093018
junyi,random,merged_10seed,1,1,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8156668668015628,0.7982925645014673,0.3875086412209748,0.4201297162902562,0.7858112452668429,0.7394498280712722,0.8577258921791951,0.8105466530287533,0.0
junyi,random,merged_10seed,1,1,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8156668668015628,0.7553025731745033,0.3875086412209748,0.4351377609485944,0.7858112452668429,0.7202250703344796,0.8577258921791951,0.7997314835533677,0.0
junyi,random,merged_10seed,7,7,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8193351743772803,,0.3869048409339021,,0.783239265556905,,0.853980171335066,,
junyi,random,merged_10seed,7,7,,,EWC,EWC (lambda=1000),continual_learning_baseline,False,embedding,"{""lambda"": 1000}",fixed_from_existing_result,0.7500248464558015,0.7625368134650579,0.4463518729299509,0.4405721076487494,0.7182253340001429,0.712253829321663,0.7945191205585078,0.7788057190916736,0.0897414609789848
junyi,random,merged_10seed,7,7,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7999602850899832,0.798831148037719,0.4003948403317696,0.4159321269357033,0.7651639637065085,0.7410128165051578,0.8358715733759424,0.802808520766393,0.0227612275630235
junyi,random,merged_10seed,7,7,,,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6752236981725968,0.7792462020916462,0.4644391146163985,0.430412139274989,0.6769307708794742,0.728196311347296,0.767243154210418,0.7924573338107173,0.1978163421154022
junyi,random,merged_10seed,7,7,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.7954864448232526,0.7886963170106762,0.4008821564729569,0.4240494195436052,0.7694505965564049,0.7377305407939981,0.8499837292547999,0.8026810912511759,0.0606787502765655
junyi,random,merged_10seed,7,7,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8173191499531034,0.8150072727291693,0.3886836439383497,0.4082733883814843,0.7815960562977781,0.7550797124101282,0.8530641672674838,0.8131632288064863,0.0458154380321502
junyi,random,merged_10seed,7,7,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=0.1),gncdm_baseline,False,gncdm_concept,"{""lambda"": 0.1}",fixed_from_existing_result,0.7966667069071669,0.8106322658840943,0.431262988446679,0.4105712708281633,0.7445881260270057,0.7517974366989685,0.8127193671748127,0.8105011933174224,0.1495999544858932
junyi,random,merged_10seed,7,7,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7624880479555075,0.7413804990724597,0.4371848991448296,0.480189586659818,0.7140815889119096,0.6256642700844014,0.7859664135201626,0.7697336794538987,1.4228298664093018
junyi,random,merged_10seed,7,7,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8193351743772803,0.7969194294258429,0.3869048409339021,0.4196515618461637,0.783239265556905,0.7453891841200375,0.853980171335066,0.8114801527600972,0.0
junyi,random,merged_10seed,7,7,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8193351743772803,0.780292755381272,0.3869048409339021,0.4255357219468899,0.783239265556905,0.7338230697092841,0.853980171335066,0.8053936692949377,0.0
junyi,random,merged_10seed,21,21,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8205637496985043,,0.387272523655634,,0.7820247195827678,,0.8525160728960216,,
junyi,random,merged_10seed,21,21,,,EWC,EWC (lambda=1000),continual_learning_baseline,False,embedding,"{""lambda"": 1000}",fixed_from_existing_result,0.7626929049510353,0.7667844106481725,0.4397015055972515,0.4369130831054558,0.7271558191040938,0.7163175992497656,0.8018060096528102,0.786746563271061,0.0884347259998321
junyi,random,merged_10seed,21,21,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.8011703703119715,0.8008072233924765,0.399027933263106,0.4158367451693107,0.7665928413231407,0.7399187246014379,0.8373898760639092,0.801194743130227,0.0347756631672382
